seller_id,order_item_id,product_id,shipping_limit_date,price,freight_value,seller_zip_code_prefix,seller_city,seller_state
0015a82c2db000af6aaaf3ae2ecb0532,1,a2ff5a97bf95719e38ea2e3b4105bce8,2017-10-12 22:24:16,895.0,21.02,9080,santo andre,SP
0015a82c2db000af6aaaf3ae2ecb0532,1,a2ff5a97bf95719e38ea2e3b4105bce8,2017-10-18 14:49:22,895.0,21.02,9080,santo andre,SP
0015a82c2db000af6aaaf3ae2ecb0532,1,a2ff5a97bf95719e38ea2e3b4105bce8,2017-10-24 23:56:20,895.0,21.02,9080,santo andre,SP
001cca7ae9ae17fb1caed9dfb1094831,1,e251ebd2858be1aa7d9b2087a6992580,2017-05-05 15:10:21,199.0,17.09,29156,cariacica,ES
001cca7ae9ae17fb1caed9dfb1094831,1,98a8c2fa16d7239c606640f5555768e4,2018-04-17 11:10:23,169.0,114.62,29156,cariacica,ES
001cca7ae9ae17fb1caed9dfb1094831,1,e251ebd2858be1aa7d9b2087a6992580,2017-03-30 02:45:30,139.9,15.15,29156,cariacica,ES
001e6ad469a905060d959994f1b41e4f,1,093cd981b714bcdff182b427d87fc8fc,2018-08-13 23:05:23,250.0,17.94,24754,sao goncalo,RJ
002100f778ceb8431b7a1020ff7ab48f,1,f20ecbadee5c21ee0f8b35381c49f267,2018-02-16 18:35:31,129.9,15.66,14405,franca,SP
002100f778ceb8431b7a1020ff7ab48f,1,69adf2553423d21b32e7f734196a3ab2,2018-04-18 13:11:45,89.9,18.51,14405,franca,SP
002100f778ceb8431b7a1020ff7ab48f,1,bb9b2da4f8ff24846eb34e2bd128d5b4,2017-11-24 11:55:51,49.9,11.85,14405,franca,SP
003554e2dce176b5555353e4f3555ac8,1,67f36b3689147d882d2b298fd0715d80,2017-12-21 07:11:03,120.0,19.38,74565,goiania,GO
004c9cd9d87a3c30c522c48c4fc07416,1,6ef8c8d7d06c5dca94963e77ccd20778,2017-03-06 10:01:38,259.99,24.46,14940,ibitinga,SP
004c9cd9d87a3c30c522c48c4fc07416,2,6ef8c8d7d06c5dca94963e77ccd20778,2017-03-06 10:01:38,259.99,24.46,14940,ibitinga,SP
004c9cd9d87a3c30c522c48c4fc07416,3,b01cedfa96d891427058852f0625e9ee,2017-03-15 14:09:17,259.99,21.01,14940,ibitinga,SP
00720abe85ba0859807595bbf045a33b,1,135679c12dc580ad4a0c87b494a46942,2018-08-07 17:05:21,132.0,9.67,7070,guarulhos,SP
00720abe85ba0859807595bbf045a33b,1,e5be5333cb5acab251c28955c22b9fbd,2018-05-24 16:15:14,84.0,18.17,7070,guarulhos,SP
00720abe85ba0859807595bbf045a33b,1,2d9ff06c8870a518f5f6909774e140fb,2018-05-21 17:32:03,78.0,8.9,7070,guarulhos,SP
00ab3eff1b5192e5f1a63bcecfee11c8,1,362db8a45afd47d3f54c0f34f7c828bc,2017-03-23 11:40:26,98.0,12.08,4164,sao paulo,SP
00d8b143d12632bad99c0ad66ad52825,1,e4db070498b75e666a0736eb2f0abcd4,2018-03-27 11:30:19,86.0,51.1,30170,belo horizonte,MG
00ee68308b45bc5e2660cd833c3f81cc,1,1e8c9a649b9c92a2acf771c3168e15b8,2018-02-21 22:06:51,450.0,16.9,3333,sao paulo,SP
